Tweet,Clasificacion,,
@samuel_garcias deberias ser presidente  yo voto por ti ,1,,
"Y este facturero @samuel_garcias quiere ser presidente... mms, le quedo muy grande la gobernatura de NL !!",0,,
"@samuel_garcias Deja de mamar con que te quieres ir de presidente, ponte a arreglar las cosas que prometiste aqui",0,,
@samuel_garcias Eres un autentico pendejo!! Hidrologo? Presidente? Nada de eso! Eres un autentico pendejo!!!,0,,
"Le dicen chiquito!
Para el, unas gotas son un diluvio!
Le quedan grandes los zapatos de gobernador!
Y es un pequeno dictador que cree que sera presidente!
Lo motejan como ""Samuel el Pequeno... @samuel_garcias !",0,,
"@latinus_us @samuel_garcias Sabes cuantas piedras en el zapato te vas a cargar,si fueras presidente? Millones,millones y yo sere una de ellas! Hasta que se hinchen los pies!! Necio!",0,,
"@latinus_us @samuel_garcias Nooooo seas Mamo%@#$%nnn Pinch@#%^ Necio! Estas enfermo y obsesionado ya! Tu PINCH$$@*# PADRINO @lopezobrador_ nada mas te dio cuerda a lo pende@#$&amp; No seras presidente ni de la colonia donde vives,entonces y atiende Nuevo Leon mi rey!",0,,
"@samuel_garcias Vato, estas de meteorologo porque de gobernador no pusiste y te quieres ir de presidente???? Tantita madre por favor.",0,,
@samuel_garcias @MilkenInstitute no vas a ser presidente compa,0,,
"@Ia__BeIlIezza @samuel_garcias No te postules para presidente, mejor reclama el trono de Espana",0,,
"@eljovenbart @mario_dico50 @samuel_garcias Definitivo, teniendo a un presidente como Dictador es logico que le piensen para invertir. Aunado a los tratos con paises comunistas peor! https://t.co/NFgAG94tlb",0,,
"@samuel_garcias Jajajaja y asi quieres ser Presidente de la Republica, no manches si lo fueras no habria clases nunca. !Ve a dar una vuelta por Filandia, Suecia, Noruega. Saludos Don Samuel simpatias.",0,,
"@The_Master85 @samuel_garcias Me pregunto cuanta de esa gente que batalla con el transporte volvera a votar naranja en su vida o por Samuel para presidente.

Muchos por eso alertamos a todos en twitter sobre ese wei y el alcaldeso Colosio, que no les crean como aqui se le creyo.",0,,
@Albertomoli64 @elvazleta @samuel_garcias @LlanoEly @Elleny1921 @miss_pueblo @ericsalinas @_taxista_regio_ Tanto critico al Bronco y este 2 anos el poder y ya quiere ser presidente .. ningun cargo ha concluido.,0,,
"@samuel_garcias  YA SE TE CAYO EL PROYECTO DE TESLA VERDAD , ASI, DE GRANDE TU FRACASO Y EL DE TU FEJE EL IMBECIL LOPEZ ROBADOR  Y QUIERES SER PRESIDENTE  @lopezobrador_",0,,
"@samuel_garcias Estas preparando todo p' tu postulacion a Presidente;triste q el resto del pais esta creyendo lo q se ve en tus mentirosas redes.Raro q no hay respuesta de tu parte ante tanta inconformidad expuesta p' ti, x k sabemos q lo negativo expuesto lo bloqueas para el resto de Mexico",0,,
"@elnorte  Samuel ya le esta copiando hasta eso al presidente, como sabe que le van a decir que no es ahi que debe ser la camara de diputados el dira,  que hay corrupcion en el trife. O que @samuel_garcias",0,,
