content,fecha_publicacion
"@mario_dico50 @samuel_garcias El cara de mingitorio quiere ser presidente, idiota",2023-11-24 23:59:47+00:00
"@pedroferriz3 @samuel_garcias ?Y esa cagada pretender ser presidente de Mexico? 
No mamar",2023-11-24 23:51:50+00:00
@samuel_garcias El Presidente. ,2023-11-24 23:50:42+00:00
"@DanteDelgado @samuel_garcias @MovCiudadanoMX @samuel_garcias, el NUEVO NUEVO PEON de @lopezobrador_ , IMPARABLE (con disfuncion erectil), basa su campana con zapatos fosfo fosfo. QUE GRAN ESTRATEGIA! Imaginense a este Dictadorzuelo de Presidente! https://t.co/H6uz5L5xlw",2023-11-24 23:48:18+00:00
"?Habra cometido un error estrategico @lopezobrador_ al imponer a @samuel_garcias como candidato para MC?

?O siempre fue su plan?

OJO con ""Las Benditas Redes Sociales"", la tiktokcracia viene fuerte

Los jovenes y soberanos eligen al Presidente

Posee armas de ""persuasion masiva"" https://t.co/4VdCExMl1n",2023-11-24 23:47:49+00:00
@soldetauro111 @samuel_garcias Tu querido presidente. Igual de ciegas que con Pena Nieto. https://t.co/KLzmevLYDC,2023-11-24 23:46:55+00:00
@pedroferriz3 @samuel_garcias el que queria ser #Presidente  https://t.co/Heoc6opUZU,2023-11-24 23:45:53+00:00
@samuel_garcias Muy bien proximo presidente ,2023-11-24 23:44:07+00:00
@SancadillaNorte @samuel_garcias @ClubSantos Por ser presidente es capaz hasta de dar a la chabacano,2023-11-24 23:43:08+00:00
@samuel_garcias Fierro next presidente,2023-11-24 23:42:08+00:00
"El ex presidente de #Mexico @VicenteFoxQue dijo que @Claudiashein es un cero a la izquierda y @samuel_garcias comera polvo en las #Elecciones2024

https://t.co/baSAQk5NyW
https://t.co/hhQWvtzJ66
https://t.co/cUL97QO1r3
https://t.co/f4H090qtu8 https://t.co/b6KRtlxGbf",2023-11-24 23:39:33+00:00
@pedroferriz3 @samuel_garcias Ese pinche cacheton hdspm no debe de ser presidente.,2023-11-24 23:39:17+00:00
"El precandidato a presidente de la Republica por #MovimientoCiudadano visito la Comarca Lagunera.

""Estoy convencido de que @samuel_garcias, como candidato a la presidencia, y su esposa @chavacanamayor, le estan inyectando un ingrediente fundamental al proceso, que es la motivacion a los jovenes para participar en politica. En Torreon, un acto de pega de ""calcas"" se volvio un evento masivo y el encuentro en Gomez Palacio reunio a cientos que convirtieron el evento en toda una fiesta de alegria"" comento el dirigente de @MovCiudadanoDgo, @MartinVivanco.

""Teniamos muchos anos escuchando que sin estructuras y sin dinero no se gana. Dicen que sin dinero no puede haber movilizacion; pero llega alguien a una calle principal y de repente inspira y moviliza, porque despierta un interes real sobre todo en los jovenes"", agrego el lider naranja en Durango.",2023-11-24 23:31:00+00:00
"@NachoRgz @XochitlGalvez @samuel_garcias No te he visto exigirle algo a tu presidente 

Solo alabanzas.",2023-11-24 23:25:03+00:00
"@ferbelaunzaran @colosioriojas @samuel_garcias Pero los fosfos se la pasan por donde quieren igual q lopez  obrador su aliado. No me queda duda, que @colosioriojas  llegara hacer presidente,  el esta paso a paso construyendo su carrera y lo veo en un par de sexenios colgandose la banda! ",2023-11-24 23:23:41+00:00
@samuel_garcias @chavacanamayor Vamos con todo mi futuro presidente,2023-11-24 23:14:40+00:00
"@ferbelaunzaran @sanchele72 @colosioriojas @samuel_garcias  para que la cuna apriete tiene que ser del mismo palo, que madera de joven, para mi edad es casi un nino. Su padre estaria muy orgulloso de el, hasta que alguien habla con cordura y sin miedo. Si sigue pensando asi en unos anos sera un excelente presidente. https://t.co/qYeWBo5W8f",2023-11-24 23:10:30+00:00
"@ramirosolorio @ferbelaunzaran @colosioriojas @samuel_garcias Pues si, da mucho gusto oirlos hablar asi pero a la hora de la verdad  cambian de opinion. Ahi esta el mismo Samuel G., era muy distinto en sus discursos, juro mil veces que no era momento de ser presidente y..., siempre faltan y deshonran su  palabra. Ahi esta Kumamoto, etc.",2023-11-24 23:07:22+00:00
"@pedroferriz3 @macariomx @samuel_garcias Samuel no ha podido resolver el caso Debanhi y pretende ser presidente, ?como combatiria al CO?",2023-11-24 23:01:38+00:00
"@pedroferriz3 @samuel_garcias Echale CHINGZOS Pedro, este mequetrefe no merece ser presidente",2023-11-24 22:55:00+00:00
@OSWALDORIOSM @samuel_garcias es un verdadero  esto quieren para presidente? un patetico y mediocre ser..,2023-11-24 22:53:41+00:00
Y se burlaba del Presidente @FelipeCalderon y a el nunca se le vio asi  que paso @MovCiudadanoMX @samuel_garcias,2023-11-24 22:39:50+00:00
"Entonces que? 

?Le damos? .

@samuel_garcias https://t.co/mwbwdyZA0R",2023-11-24 21:31:37+00:00
"@Twiteriandoando @pepecharlie_ @cesarmty @samuel_garcias Si recibe recursos del presupuesto estatal, esta obligada  a rendir cuentas.
Les va a salir muy caro el seguirle el juego al presidente.",2023-11-24 22:39:01+00:00
"@samuel_garcias Que chingaos has logrado solo eres pura lengua mentirosa y entiendelo todo Mexico ya sabe que ya eres criado del presidente solo vas a dividir votos, si desmadraste un estado que le espera a un pais contigo",2023-11-24 22:33:12+00:00
@pedroferriz3 @samuel_garcias JAJAJAJA...QUE BUEN GOBER.....Y ASI TIENE INTENCION DE SER PRESIDENTE....TA LOCO,2023-11-24 22:32:03+00:00
Aqui andamos a la espera del proximo presidente @samuel_garcias  https://t.co/uDwKnRWqEN,2023-11-24 22:21:57+00:00
"@OSWALDORIOSM @samuel_garcias Fue algo similar a burlarse de los enfermos de COVID diciendo que con unas estampitas te protegias, lo malo que esa burla la hizo el presidente, no un aspirante, o el famoso riqui riquin canallin del que todos se rieron en redes, algo asi igualito.",2023-11-24 22:18:22+00:00
"@Dimitrova_Linda @marianardzcant @samuel_garcias Diganle con su guerra sucia ni los pelan y gracias por toda la propaganda gratis, ellos son joviales ellos son autenticos no necesitan guerra sucia no necesitan mas que ser ellos ellos van a ser presidente y 1erdama. Samuel Garcia y Mariana Rodriguez son el mejor futuro mexicano.",2023-11-24 22:17:50+00:00
"Estas proximas elecciones Mexico se pinta de #FosfoFosfo jajajajaja
El presidente regio deja de ser un sueno para convertirse en realidad @samuel_garcias",2023-11-24 22:16:13+00:00
