Tweet,Clasificacion
"ni suenes con ser Presidenta, a lo mejor solo de tu colonia, cochitl",0
Tu casa contra mi casa perro y no veras presidenta a Xochitl,0
"Y todavia quiere ser presidenta, no memen esa botarga no tiene verguenza, cinica.",0
"XochitlGalvez eres una mediocre corrupta y ladrona. No ganaras y no mamaras del erario, apestas a corrupcion.",0
"No lo privatizaras ,porque no ganaras pinche gorda vende gelatinas,solo eres la gata del Claudio x,una empleada.",0
Tu me das asco Xochitl no cuentes con mi boto hablas puras idioteces eres una pendeja al decir que si ganaras la presidencia dejaras que agan una intervencion por parte de EU estas tonta o que viva amlo y que VIVA MEXICO,0
"Sabes contar, con Mexico no cuentes no queremos una Corrupta, Rata, Vulgar y Corriente en la presidencia Xochitl Galvez no ganaras nada.",0
"XochitlGalvez eres una mediocre corrupta y ladrona. No ganaras y no mamaras del erario, apestas a corrupcion.",0
"XochitlGalvez la CINICA, VULGAR, HIPOCRITA, QUE NO TIENE PRESENCIA, LA CIRQUERA QUE YA SE CREE PRESIDENTA. SU CAIDA SERA ESTREPITOSA, NO LEVANTA LA CORRUPTA INGE'NERA QUE REPRESENTA MUY BIEN A LOS #PRIANDEJOS ESTA BOTARGA GELATINOSA NUNCA GANARA !",0
Jamas ganara la senora x.,0
Yo no voy a votar por Xochitl,0
Yo quiero a Xochitl Galvez como presidenta 2024. #XochitlVa,1
"COCHIL GALVEZ, RATA ASQUEROSA, NO GANARAS SOLO HACES CUIRCO ENADA POR TUS PATRONES RATOTAS IGUAL QUE TU",0
Cochill ya rindete no ganaras entiendes entiendes no ganaras,0
"Que asco, la Botarga. No ganaras la eleccion, eres un titere de Claudio Xoconoztle Gonzalez",0
Calmate Cogupta esas mentiras ni tu te las crees juasss,0
Eres una #Cogupta El pueblo de Mexico no te quiere,0
"No botarga, tu no estaras en Palacio Nacional ni mucho menos seras presidenta de Mexic",0
@XochitlGalvez Inepta mediocre. Jamas ganaras,0
@XochitlGalvez Sinverguenza corrupta nunca seras la presidenta de este pais nunca jamas,0
"La neta jamas en la vida votaria por un ser tan despreciable @XochitlGalvez, pero parece que es la unica posibilidad de sacar a Morena, es un mal un poco menos peor",0
"@XochitlGalvez Sigue Aspirando,  DESINFLADA INDIGENA, JAMAS LLEGARAN  A GOBERNAR ESTE PAIS. LOS TRAIDORES PRIANISTAS. Nunca volveran. Punto",0
"@abdulachik @XochitlGalvez Ni lo suenes, esa #BotargaCorruptaX jamas sera Presidenta de Mexico",0
@XochitlGalvez @Xochitl__Va Jamas va ser presidenta de Mexico jajajajajaj,0
@XochitlGalvez La botarga Xochitl Galvez y la dinosaurio Beatriz Paredes por cual irle a ninguna estas corruptas y saqueadoras y de partidos PRIAN corruptos ligados al narco vende patrias jamas llegaran a la presidencia,0
"@XochitlGalvez No votaria por ti jamas, eres inepta, ridicula, falsa, mentirosa y Mexico entero tambien te odia",0
@XochitlGalvez Entiende botarga jamas seras presidenta,0
@XochitlGalvez Jamas seras Presidenta de nuestro Pais. Corrupta.,0
@ryo_hermoso @XochitlGalvez Jamas votaria por esa mujer,0
"@AngMariscal4T @XochitlGalvez Tecnocratas o tecnoratas que afectaron a nuestro pais despojaron a generaciones de mexicanos ,@Xochitl2024  la corrupta @XochitlGalvez  nunca sera Presidente jamas  lo permitiremos",0
@ryo_hermoso @XochitlGalvez Esa zopilota de la x0ch17l nunca sera presidenta jamas,0
"@XochitlGalvez Suenos son los que tienes, jamas vas a ser presidenta, asquerosa COCHIL.",0
@XochitlGalvez @SantiagoCreelM Yo jamas votare x una francesa,0
"@XochitlGalvez Es muy simple CAES MAL, ERES LA CANDIDATA MAS ANTIPATICA QUE A EXISTIDO, JAMAS VOTARIA POR ALGUIEN COMO TU !!!",0
"@XochitlGalvez No se quien con un poco de cerebro  votaria por esta senora, yo jamas lo haria!!",0
@doloressoledad9 @XochitlGalvez La corrupta Botarga jamas sera presidenta.Te lo aseguro.,0
"@XochitlGalvez Tu eres la destruccion de pacotilla ,inepta,lepera ,alburera ,jamas seras presidente nunca ,no lo permitiremos 50 millones  de mexicanos",0
@XochitlGalvez Jamas votaria por ti Botarga Ridicula.,0
@AngelNa03851722 @XochitlGalvez TE GARANTIZO QUE XOCHITL JAMAS SERA PRESIDENTA.,0
@SantiagoCreelM @XochitlGalvez  nunca jamas seras presidente  no te queda mas que obedecer a tus patrones  https://t.co/TSG8R4Ftcg,0
"@XochitlGalvez Que pen... es esta senora,  jamas jamas ganara",0
@XochitlGalvez Jamas votaria por una Ingeniera pendeja en matematicas,0
