content,fecha_publicacion
"Mensaje desde Guanajuato! 

Muchas gracias por el saludo y el mensaje Presidente @VicenteFoxQue
Por supuesto que no me voy a rajar y voy a seguir chambeando duro por @XochitlGalvez
Le aseguro que van a ser muchos mas de 100 mil votos y muchos seran de jovenes
Gracias @Jcamachomx https://t.co/Vgo8sZFcWZ",2023-11-24 23:59:14+00:00
"@jabonazzo El proximo presidente, llevas una semana y @XochitlGalvez ya esta temblando ",2023-11-24 23:47:19+00:00
"@paulisalcocer @mario_delgado @XochitlGalvez Bueno, hay que reconocer que este ojos de sapo si ha hecho algo... 
- El ridiculo
- Berrinches
- Ladridos a lo loco sin nadie que lo tome en serio (ni siquiera el presidente)",2023-11-24 23:47:12+00:00
"@armando_regil @XochitlGalvez Dona botarga, no tiene la minima posibilidad de ser presidente, lo unico que quieren sus patrones es perder representacion. 
A dona gelatinas se le olvida que sin investigacion no hay solucion. No da una, lo que da es lastima. https://t.co/EpzsYPVR4Q",2023-11-24 23:46:44+00:00
"@Arouet_V @XochitlGalvez XG, no sera presidente.",2023-11-24 23:40:44+00:00
@rivapa @XochitlGalvez @lopezobrador_ @Claudiashein Apuesto a que te repudia mas la gente a ti chayotero que a AMLO el mejor presidente de los ultimos 30 anos. https://t.co/6VfylJZmYU,2023-11-24 23:39:29+00:00
@mario_delgado @XochitlGalvez A la que se le cayo la linea 12????? Vaya cientifica jajajajajaja jajajajajaja jajajajajaja jajajajajaja ademas dijo el presidente AMLO que no necesariamente la gente con doctorado sabe mas....y si lo obtuvo en el extranjero solo aprendio a Robar!!! Y lo dijo AMLO no yo....,2023-11-24 23:35:17+00:00
"@XochitlGalvez Deseo, con todas mis fuerzas que ganes y te conviertas en la proxima presidente de Mexico, pero para lograrlo, necesitas levantar tu campana. Rodearte de gente que quiera que GANES. Te estorba @SantiagoCreelM no tiene el empuje ni la experiencia !Haz cambios en tu equipo ya!",2023-11-24 23:33:42+00:00
"@XochitlGalvez Deseo, con todas mis fuerzas que ganes y te conviertas en la proxima presidente de Mexico, pero para lograrlo, necesitas levantar tu campana. Rodearte de gente que quiera que GANES. Te estorba @SantiagoCreelM no tiene el empuje ni la experiencia !Haz cambios en tu equipo ya!",2023-11-24 23:33:21+00:00
"@NachoRgz @XochitlGalvez @samuel_garcias No te he visto exigirle algo a tu presidente 

Solo alabanzas.",2023-11-24 23:25:03+00:00
"@LillyTellez @XochitlGalvez Descaro, pero que bien va entendiendo el fuera mascaras mira que aseverar el ""partir y repartir el pastel"" y poner la bandera de Mexico, asi es como lo concibe, bien dice el presidente el poder solo tiene sentido y se convierte en virtud cuando se pone al servicio",2023-11-24 23:24:25+00:00
"@mario_delgado @XochitlGalvez No mames Mario, un fosil de la UNAM sin preparacion es el presidente actual, no rebuzna por q no se sabe la tonada, y ni te digo cuantos brutos mas sin preparacion estan en el gabinete, acuerdate 90% lealtad y 10% preparacion, lo dice el lider de esos burros",2023-11-24 23:21:43+00:00
"@armando_regil @XochitlGalvez No es un perfil de Presidente, no se a quien se le ocurrio ponerla de candidata por encima de otros perfiles mucho mejores.",2023-11-24 23:21:00+00:00
"@Arouet_V @XochitlGalvez no quiero pensar  que podriamos  escoger y apoyar a alguien que haga exactamente lo mismo que el presidente , que voltee a verlo  y que se pregunte @XochitlGalvez  si  actuara igual que el   .",2023-11-24 23:17:50+00:00
@XochitlGalvez Xochitl Galvez Presidente la esperanza de Mexico porque la esperanza esta de nuestro lado,2023-11-24 23:16:14+00:00
"@alvaro_delgado @diegosinhue @XochitlGalvez Es cuestion de niveles. Fox fue presidente, con minuscula; Sinhue es gobernador, y Xochitl solo es... 
Una Botarga.",2023-11-24 23:13:35+00:00
@gurudeportes30 @LeoAponte_ @XochitlGalvez @Xochitl2024 @CarlosLoret #Xochitl solo llena olla se tamales y charolas de gelatinas. Una socialista corrupta nunca sera Presidente porque es lo mismo que sheinbaum,2023-11-24 23:10:25+00:00
"@gabitaSep67 @SocCivilMx @XochitlGalvez A los medios los amenazo abiertamente el presidente en varias mananeras. A partir de ese momento, no solo la critican, sino que ya no la invitan para entrevistas.
Fue muy obvio que lo hicieron todos al mismo tiempo, justo despues de la amenaza presidencial.",2023-11-24 23:09:00+00:00
"@LillyTellez @XochitlGalvez Eso quisieras para ver si te toca algo, pero no las migajas vas a recoger, por traicionar al mejor presidente de Mexico en los ultimos anos...",2023-11-24 23:05:12+00:00
"@mario_delgado @XochitlGalvez Como el misero presidente que quiere venir como ensenar como construir casas , carreteras , como extraer petroleo, como cuidarse de virus , etc, etc etc",2023-11-24 22:59:22+00:00
"@JJDiazMachuca @Viri_Rios @XochitlGalvez @SobreavisoO Que representa? Dice jajaja si me dio pena hasta ver a Denisse con linea la verdad. Representa a todos los que ya nos tiene hasta la madre morena, al esquizofrenico presidente, Samuel de no tener partidos? Jaja es un esquirol",2023-11-24 22:58:36+00:00
@fernandeznorona @XochitlGalvez Y este tonto queria ser presidente?? Politiqueria barata solo eso hace la 4t,2023-11-24 22:56:40+00:00
@maxcortazarl @XochitlGalvez Esta tan desesperada la oposicion que recurrieron al miserable de la guerra sucia en contra de NUESTRO PRESIDENTE hace anos atras...,2023-11-24 22:51:00+00:00
"@joseant58682225 @diegosinhue @DiputadosPANGto @XochitlGalvez @LibiaDennise @VicenteFoxQue @hlsantillana @miguelmarquezm @JCRomeroHicks @AleGutierrez_mx @ZonaFrancaMX @manuel_oliva @periodicoam @PeriodicoCorreo El mal-llamado presidente dice otra cosa
 https://t.co/t4zMJUXqP9",2023-11-24 22:49:39+00:00
"@armando_regil @XochitlGalvez Yo te resumo sus logros 150 denuncias a quien no compartia sus ideas todas sin desahogar, decir que el presidente tiene miedo  recordar siempre la venta de sus gelatinas, eso es a lo maximo que llegara su narrativa, sin contar que no puede articular dos frases sin telepronter.",2023-11-24 22:49:19+00:00
@catrina_nortena @XochitlGalvez @LillyTellez Cuanta preparacion! Esa que dicen le falta al Presidente AMLO y a su gabinete ,2023-11-24 22:46:20+00:00
