content,
"}Perfecto, muy bien se lo merece Ahora tambien que encarcele y exhiba a:
Marcelo Ebrard y Mario Delgado por la linea 12
Claudia Sheinbaum por el Rebsamen, la L12 y el Metro
Bartlett e Hijo, ventas infladas al Gobierno de la 4T
Andy Lopez Beltran por negocios con Influyentismo",0
"El nieto de uno de los que tuvieron a su cargo la matan de tlaltelolco... y pupilo del Garcia Luna.
Cuanta basura esta recogiendo claudia Sheinbaum, se atraen los iguales .",0
@Claudiashein #ClaudiaSheinbaum Presidenta!!,0
"Lo peor de Morena, PatanAugusto, Claudia Sheinbaum, Cuitlahuac. Salgado Maspedonio, Gatell, Ebrard, son;+Corrruptisimos.
+Saqueadores del dinero publico.
+Sin vocacion de servirnos 
+Autocraticos
+Piensan como en 1970. 
+Enemigos de USA que viven 23 millones de Mexs.",0
@ShelzyMx Que asco   me da todo esto!! #Morena #Amlo #PatanAgusto #ClaudiaSheinbaum #MarioDelgado #AmloCinicoYCorrupto #JesusRamirez #JenaroVillamil #AlfonsoDurazo,0
 El Metro de la #CDMX se cae a pedazos y NADIE se hace responsable. Florencia Serrania y ahora Claudia Sheinbaum se lavan las manos. #MetroCDMX #transporte #Linea9 #Linea12 #Pantitlan https://t.co/CbqdE3DeA9,0
"Ante las acusaciones de acarreo en sus Asambleas Informativas, Claudia Sheinbaum (@Claudiashein) rechazo hacer esta practica e indico que de hacerlo seria contraproducente. https://t.co/1pPco7q46x",0
"@Unbogo @MexicoXochitl @MaluMicher @Claudiashein Claudia Sheinbaum perdio parque no trabajo la CD de Mexico.

Ella misma lo acepto.

Asi va a gobernar con esa falta de compromiso? @AlfredoJalife

Por esa falta de compromiso.

Por eso mete a los azulosos a su equipo.

Fata total de conciencia. https://t.co/Wuxi9tIJSn",0
"Es una mentirosa, igual que su patron #Linea9 #ClaudiaSheinbaum 
https://t.co/377eN29yvX",0
"@AntonioAttolini @Claudiashein Cinicazos. Nadie esconde la mano mas que tu jefa. 

Claudia Sheinbaum es una tramposa @CitlaHM
@mario_delgado
@AlfonsoDurazo 

#ALasPruebasMeRemito https://t.co/c9btAvYWeF",0
Asquerosa #ClaudiaSheinbaum #ClaudiaSheinPAN,0
"Sheinbaum volvio a negar que haya ""guerra sucia"" y acarreo de personas en sus asambleas informativas, bajo el argumento de que ""seria contraproducente"" para ella y los resultados de la encuesta.
https://t.co/A41RGKL7JX",0
"?Que hizo Claudia Sheinbaum con las 60,000 dosis de fentanilo que compro cuando era jefa de gobierno, eso si podra responderlo?",0
"La mayoria de pleitos se redirige a un favoritismos o complacencia del gobierno y eso solo genera mayor controversia, claramente vemos el ejemplo con Claudia Sheinbaum",0
"Saben si la #Feminista de #ClaudiaSheinbaum va a mandar a la #FiscaliaCDMX y a la marina a detener a la Godoy por su incompetencia en otro caso de impunidad e incompetencia en la #CDMX?
https://t.co/AghN7I9sNv",0
"En serio quieres a Claudia Sheinbaum en la presidencia y como su brazo armado a Omar Garcia Harfuch  en el 24?
El es nieto de quien llevo a cabo la matanza de tlaltelolco en el 68, es hijo de Javier Garcia Paniagua, quien fue titular de la temida Direccion Federal de Seguridad, de 1976 a 1978, y quien ocupo en dos periodos con Carlos Salinas de Gortari, la entonces Secretaria de Proteccion y Vialidad del extinto Distrito Federal.
Ademas Omar era el delegado de la  (PGR) en Guerrero cuando desaparecieron los 43 normalistas de Ayotzinapa. Tambien fue subordinado de Genaro Garcia Luna.",0
"""Que conteste el director del Metro, yo ya no soy jefa de Gobierno"", dijo Claudia Sheinbaum cuando fue cuestionada por los trabajos de reparacion de la Linea 9 del Metro en la cual se ha registrado un alto indice de fallas. #LadyFentanilo #MetroCDMX | https://t.co/IfM4MQCGAW",0
@coMENTADAS_ @Claudiashein Y tambien contaran a los trabajadores de limpia y transporte porque tambien los estan obligando a poner cuentas de Twitter y Facebook a favor de claudia sheinbaum,0
"@markaam13 @XochitlGalvez @SidneyHaag @vampipe No hay dinero para reparaciones del metro en CMX, pero si para pagar guarros para un miembro de la elite de paleros de morena, y protegido de la #ClaudiaSheinbaum",0
"Para estar en el poder a que convencer A mi no me convence!

A ustedes si los convencen?

Es una respuesta confusa que da el Gobierno Capital de La Republica Mexicana en el tema de la compra de Fentanilo por parte de la Dr.Claudia Sheinbaum Pardo.

https://t.co/3J8eEIpkQz",0
"@HernanGomezB @fernandeznorona El Palero del Palero,
Paleros de Claudia Sheinbaum",0
"@CarlosAugustoMX @Claudiashein ES LA GUERRA SUCIA DE MANCHAR A QUIEN VA AVANZANDO Y VA LLEGAR A LA PRESIDENCIA,  PORQUE DE OTRA MANERA NO PODRIAN HACERLO, NO TIENEN LA PREPARACION DE LA SRA. CLAUDIA SHEINBAUM",0
Asi quedan por usar esta drogas #LadyFentanilo y aparte  nalgas planas. #ClaudiaSheinbaum... Vieja corrupta https://t.co/T6Yw4J1nQe,0
"@m_ebrard A ver Marcelo,ponte abusado ya que estan obligando a los trabajadores de la CDMX a asistir al evento de cierre de campana de Claudia Sheinbaum este sabado en el Monumento a la Revolucion desde las 10 am,tambien a los comerciantes. Eso es acarreo bajo amenaza. Haras algo?",0
"Dice dona Conchil que sus eventos no estan vacios, que siempre la agarran antes de empezar el evento. Calladon de boca le da Claudia Sheinbaum sin haber llegado aun a su evento en Guadalajara #ClaudiaFest https://t.co/4M4TDwV3gI",0
"@AXZO03 Que bueno que Claudia Sheinbaum ya no es jefa de gobierno; asi, ya no le podran echar la culpa! ",0
"@marthadelgado @m_ebrard @lajornadaonline !Hey el del Sindicato del METRO ese que atacaba a la Dra. y que misteriosamente habian accidentes y ""errores humanos"" con los cuales golpeteaban a Claudia Sheinbaum! Ya ni disimulan...",0
"?SE APROXIMA UNA SERIE DE QUEJAS CONTRA CLAUDIA EN EL TEPJF?

Se estudian si en las proximas semanas Claudia Sheinbaum podria ser denunciada ante el Tribunal Electoral del Poder Judicial de la Federacion. ?Hay motivos?

Ve el video completo aqui: https://t.co/EcCBIPgooF https://t.co/zeOqerbz4Z",0
Claudia Sheinbaum rechazo las  acusaciones de acarreados y guerra sucia en sus asambleas informativas. Afirmo que ha luchado contra estas practicas y que serian contraproducentes para las encuestas internas de Morena.,0
"Para la morenista Claudia Sheinbaum no existe el pasado, pues aunque los incidentes del metro se dispararon durante su administracion hoy solo le interesa su campana.

#MetroCDMX #Mexico #Corrupcion #Morena #Sheinbaum https://t.co/ETyaVjhqWP",0
"Alguien sabe, si Epigmenio Ibarra ya prepara una narcoserie de Claudia Sheinbaum??

El guion ya lo tiene......La reina del fentanilo!

#LadyFentanilo https://t.co/lQyS6udeSz",0
