tweet_id,username,content
1715402237571477825,DiegoOr97102293,"@CodigoMagentaMx @samuel_garcias @TEPJF_informa Sus doctorados  no le permiten entender que no es un derecho humano el. ""Votar y ser votado"" mas bien una
Prerrogativa."
1715216812793577590,alfredovaldez,A ver @samuel_garcias ... si voy a votar por ti. Pero no me vas a hacer pagar @YouTubeLATAM premium solo para ya no verte cada comercial
1715160893351170436,PugaAlejandro,"@josuegonzaleztv @samuel_garcias Y los listos dicen y a poco debemos votar por el prian, vato vota por quien de propuestas y ayude al estado, te digo que estan bien pen....s"
1715149948679758205,CapitanAmexWd,"@josuegonzaleztv @samuel_garcias En sus pedas o reuniones, saquen el tema de votar en contra de Morena y MC en 2024 para diputados y senadores, ellos planean apropiarse del pais a como de lugar, quitemosle ese intento de instaurar una hegemonia. Son la misma mamada"
1715147537772851570,ZugeiZulema,@josuegonzaleztv @samuel_garcias Va a ganar pero es pq las personas ya se cansaron de votar y los qe van si son los qe llamas  y mas de edad joven osea la mayoria qe no los quiere ya no votan
1715132073994830137,maximusdec33,"@josuegonzaleztv @samuel_garcias Lo mas triste es que va a ganar porque hay mucho PENDEJ,O que sigue defendiendo al  sin  y hay muchas PENDEJA,S que adoran a la vieja por sus redes y PUNETA,S que van a votar por ella porque ""esta buena""...

Ahora gana el que hace ""mas ruido"" y ellos estan soltando mucho "
1715121348257681898,LicValr,@josuegonzaleztv @samuel_garcias Y votar por los mismos de siempre es muy inteligente ?
1715116245643629041,Don_Frijol,"@josuegonzaleztv @samuel_garcias Si nos ayudas diciendonos por quien votar, y asi evitamos la pendejes"
1715114735715143889,eri_00008,@Fernando3mil @josuegonzaleztv @samuel_garcias Pues entonces todos somos turbopendejos.. unos por pensar que gente nueva va a hacer un cambio y otros por creer (pendejamente) que al votar por los mismos de siempre va a haber un resultado diferente al de siempre (pura corrupcion)
1715083041490473232,jaab_1984,@MX727 @samuel_garcias Es otro Rodrigo Medina pero se fueron de boca en votar por el por los tik toks
1714988398249689170,Arquimaurob,@samuel_garcias Punetas no por pagar propaganda en periodicos son verdad ya te pareces a tu amo. Y recordemos el celebre momento que tu vieja la guera oxigenada pedia no votar por #morena  https://t.co/NxImUQHtXB
1714978103141765278,KurosakiIchimar,"@ZuritaCarpio @samuel_garcias ?En serio pretendia ir por la grande? Digo, el elegido como Gobernador, es el Ejemplo perfecto de que Nuevo Leon esta lleno de ""Cindys las Regias"" Pero no hay ni remotamente tanta gente estupida en el Pais, para votar por este Animal"
