content,
@Xochitl2024 @Claudiashein @lopezobrador_ @JuanJoseRosales Desde el extranjero ya preparandonos para Votar !!VAMOS @XochitlGalvez  !!!!,1
@karene29 @samuel_garcias @MovCiudadanoMX @Claudiashein @lopezobrador_ @XochitlGalvez POR ESO DEBEMOS DE VOTAR POR EL PRI,1
@Claudiashein @delfinagomeza Se merecen sufrir en carne propia una calamidad como la de #Acapulco para que se les quite la mana de votar por estas lacras. https://t.co/QijRjJIyJ3,0
@OSWALDORIOSM @Misha_MashaIIah @XochitlGalvez @Claudiashein Hace falta ser imbecil para votar por @Claudiashein. Es solo una marioneta con el carisma de un bulto de cemento,0
"@LAURAZAPATAM No los va a ayudar, porque ya no van a votar por  @Claudiashein por eso entre mas muertes haya es mejor.
Y va a hacer todo lo posible por evitar que los sobrevivientes voten, se quedaron sin papeleria oficial para renovar su INE pondran muchas trabas para evitar que voten.",0
@Claudiashein @lopezobrador_ Y no se les olvide que Lopez esta dejando sola a la gente de Acapulco. Recuerden eso ahora que tengamos que votar ,0
"@B1Thanos @Xochitl2024 @Claudiashein @lopezobrador_ @JuanJoseRosales Consideren que muchos ya conocen a AMLO y no van a votar por todo lo que el representa, ya conocieron sus derroches y necedades
Consideren que Claudia no es su patron, ella no tiene todos sus votos
Consideren que somos 60,000,000 los que queremos progresar",0
@vampipe @Claudiashein Votar por esta senora es votar en contra del pueblo,0
"@MariettoPonce Pero en 2024 es seguro que @Claudiashein les va a pedir el voto a los guerrerenses, tendrian que ser muy idiotas para votar por Morena ,  @lopezobrador_ los abandono a su suerte",0
"@polopugamx @Xochitl2024 @Claudiashein @lopezobrador_ @JuanJoseRosales Samuel solo va de distractor, por el pocos van a votar.
Le llenaron de basura la cabeza y ni siquiera terminara su ciclo, como prometio.
",0
"@Claudiashein Ups!! Me prometi a mi misma no votar por el verde, ni por ningun partido que vaya en alianza con ellos Ni modo. Ya no votare por usted.",0
"@CitlaCarvajaI @XochitlGalvez @Claudiashein @AccionNacional @MarkoCortes @CeciliaPatronL @RenanBarrera @PanYucatan @PANMeridaMx @diputadospan @ArturoLeonMx Votar por #XochitlCorrupta es votar por una MITONOMA que se hizo rica GRACIAS a 1400 millones de contratos al AMPARO DEL PODER
#cochitlCogupta https://t.co/1A9mQj7fHO",0
@Claudiashein Cuidado con votar por esta rata de la claudia lora no sabe gobernar y desgraciadamente no ha logrado nada bueno para el pueblo es un verdadero peligro para nuestro pais ni un voto a morena vamos con XOCHILT GALVEZ LA MEJOR MAS PREPARADA MAS HONESTA CONTIGO HASTA LA VICTORIA,0
"@sccluisx @m_ebrard @PartidoMorenaMx @Claudiashein @ea_puerto @pkumamoto @lopezobrador_ @PartidoMorenaMx ha traicionado a los ciudadanos ya varias veces al poner a tantos impresentables prianistas y la INEPTA tramposa y corrupta @Claudiashein sigue agregando mas, si para ti esta bien votar por toda esa basura pues que bueno, muchos ya no daremos ese apoyo ciego... https://t.co/tNARJQCzSC",0
@RahulkMex @lopezobrador_ @Claudiashein Y por ella quieren votar?? La neta estan bien pendejos,0
@Claudiashein Ya sabemos por que partidos no habra que votar,0
@Xochitl2024 @Claudiashein @lopezobrador_ @JuanJoseRosales Si ya tienes medio ano en franca campana... ni a votar llegas ya por andar de mitotera.. imagino ese dia te lo descontaron verdad?,0
@kippalpe @Claudiashein Esa mujer ademas de que tiene un nulo carisma raya en lo mentirosa igual que su creador no le encuentro nada por lo cual alguien podria votar por ella me pregunto como ha llegado mexico a este nivel tan deplorable,0
"@JJDiazMachuca @lopezobrador_ @Claudiashein @PartidoMorenaMx @MauricioCollado No vuelvan a votar
Por morena!!!!!",0
"@Cherry_Bomb_bom @Claudiashein @lopezdoriga @CarlosLoret QUE NIVEL DE PENDEJES VOTAR POR ALGUIEN  SIN PROPUESTAS UNA COPIA CHAFA DEL PENDEJO PRESENTE,CORRUPTA
INCOMPETENTE,ARRASTRADA
Y MENTIROSO SOLO POR MOLESTAR A ALGUEIN SEGUN TU ,ES LO MAS ESTUPIDO .PERO EN FIN TU AL IGUAL QUE TU SMO LOS MUEVE EL ODIO LA ENVIDIA Y EL RENCOR.",0
@SocCivilMx Todos a votar por @Claudiashein la proxima presidenta de Mexico. Todos 4T.,0
"@skyelmatador @Claudiashein La shitbaun es peor que la rata, se ha dicho hasta el cansancio. Con unos cuantos millones de los que no salen a votar, los millones desenganados que votaron por el hdp hocicon, mas todos nosotros podemos evitar que llegue esta asesina al poder.",0
"@juncalssolano @RicardoBSalinas @lopezobrador_ @EnriqueAlfaroR @eazcarraga @Claudiashein @mario_delgado @Peperamirezmx @NaborJimenezECP @NachoRgz @JucaNoticias @mau_rodriguez77 @PartidoMorenaMx @CitlaHM La unica burla aqui eres tu, semejante aberracion andante. Por mas que te arrastres nadie va a votar por ti cabron.",0
"@Claudiashein Que hueva. El amor a la patria es no votar por los corruptos de Morena por ser peores que el PRIAN.
FARSANTES COMUNISTAS.",0
"Asi el interes real de @lopezobrador_ @PartidoMorenaMx @Claudiashein , como ya Acapulco esta perdido electoralmente para ellos, no quieren gastar nada en ellos, espero todo Mexico se de cuenta y nunca vuelvan a votar por esta gente, #MexicoMereceMas",0
"@Claudiashein Descuida no se te va a dejar de votar por plagio, se te dejara de votar por asesina, corrupta, lame botas, por doble moral en fin razones hay muchas lo del plagio es poca cosa",0
"Cuando por fin sentiste que tenias justicia, tu violador, el asesino, tu victimario, tendra las mismas posibilidades de votar en las elecciones. ?Sabes que el gobierno y @Claudiashein quieren que los ministros de la SCJN sean electos? !Si, tu violador  tambien podria hacerlo! https://t.co/crcA7AUZAc",0
"@Claudiashein @FuturoJal Ningun joven sano y honesto, se atreveria a votar por un partido que los desaparece de estadisticas cuando son desaparecidos.
Hacen como si no pasara nada.
#LagosdeMoreno no se olvida. https://t.co/Qt5m6hOxeN",0
@PartidoMorenaMx @Claudiashein Sheinbaum es una tipa que esta pisoteando la Constitucion. No hay que votar por esta basura.,0
@juncalssolano @lopezobrador_ @EnriqueAlfaroR @RicardoBSalinas @eazcarraga @Claudiashein @mario_delgado @Peperamirezmx @NaborJimenezECP @NachoRgz @JucaNoticias @mau_rodriguez77 @PartidoMorenaMx @CitlaHM Tu pinche culo jamas volveremos a votar por este gobierno corrupto inepto mentiroso el peor de todos los gobiernos y creer que yo pense que con haber votado por morena todo cambiaria por bien del pais pero fue todo lo contrario y al igual que yo muchos ya abrimos los ojos,0
"@ManuelTorresRi1 @Claudiashein Por ese tono tan despreciable que tiene @Claudiashein y por lo cinica que es,  debemos votar por alguien diferente a MORENA , por eso ni un voto para estos rateros.  FUERA MORENA!!!!!!",0
@Claudiashein @esthela_damian @FuturoJal Ya estoy dudando en votar por usted,0
"@ClaraBrugadaM no es la favorita de la ciudadania, es la ungida de @lopezobrador_ y la complice perfecta de @Claudiashein para seguir desbaratando lo poco que queda de la CDMX, no se equivoquen, no van a votar por nadie el 2024, ya esta orquestado desde palacio.",0
