content,
"@XochitlGalvez Senadora: ?los mexicanos que vivimos en el extranjero y que nos registramos, podremos votar el proximo 3 de septiembre? ",
@DonPorfifirio @HectorJTrevinoT @XochitlGalvez @BeatrizParedes El  voto es el unico de vencer a los morenos y los mexicanos  deben ejercer su derecho a votar  y dejar de ser un pais con ciudadania abstencionista.,
"Si quieres un verdadero cambio, utiliza tu credencial  para votar en el 2024
@RicardoAlemanMx @CiroGomezL @CarlosLoret
@lopezdoriga @beltrandelrio @PedroFerriz
@XochitlGalvez @AtypicalTeve @LillyTellez https://t.co/10nF944Mzl",
"@DonPorfifirio @XochitlGalvez @edelamadrid @MElenaPerezJaen @SantiagoCreelM @ildefonsogv A votar, por que van a perder.!",
"Es tanto mi repulsion a @lopezobrador_ que hasta estoy dispuesto a votar por una mujer, @XochitlGalvez!
#XochitlVa2024 #Amlo",1
"@ryo_hermoso @XochitlGalvez A salir a votar en forma masiva y no dejar espacio para Morena. Votar por Presidente, Diputados y Senadores del FAxM.  Ni de broma darle un voto a Morena, MC, PT o Verde.

PRI, PAN, PRD y SOCIEDAD CIVIL rescataremos a Mexico de las garra de estos corruptos e ineptos de morena!",1
@XochitlGalvez Eres corrupta nadie deberia darte ni un voto tienes el deseo de reprimir al pueblo espero quien lea esto no sea tan estupido para. Votar por ti,
@elizondorihuela @ChachoRicardo @XochitlGalvez Y si tu votaste por amlo esperando que fuera como fox o el borolas o el burro de pena te equivocaste Y ahora segun tu el pri se transformo en morena que te molesta si vas a votar por el pri,
ENTIENDAN @AccionNacional @PRI_Nacional  YA NO QUEREMOS POLITICOS QUE TENGAN GUARDADITOS... LA SOCIEDAD VAMOS A VOTAR POR @XochitlGalvez  PORQUE NO QUEREMOS ESOS PARASITOS DINOSAURIOS DE SIEMPRE.... NO LOS QUEREMOS EN NINGUN PUESTO PUBLICO,
"Nos merecemos un #MXSinLimites.

!Juntos lo vamos a lograr! 

#XochitlVa https://t.co/BoC4UGPDqk",
"@XochitlGalvez Traduccion:
""Empresarios, obliguen a su nomina a votar por mi y yo me mocho con los duenos""",
@pedroferriz3 @XochitlGalvez la clase media es la que sostiene este pais...y si lo que escribes es verdad...es suficiente para ganar la presidencia ...LA CLASE MEDIA DEFINIRA AL PROXIMO PRESIDENTE ...si sale a votar es la consecuencia,
@DonPorfifirio @XochitlGalvez @edelamadrid @MElenaPerezJaen @SantiagoCreelM @ildefonsogv Primero hay que esperar a que sean a las elecciones  que todos  los ciudadanos  ejerzan su derecho a votar que dejemos de ser un Mexico de abstencionismo  hay que salir a votar  y luego ya veremos lo del gabinete .,
"@XochitlGalvez Entonces regresaran las condiciones de impuestos? 
Si senora los Mexicanos somos estupidos y vamos a volver a votar por los que nos roban.",
"@Valeriano70 @Rocha4T @lopezobrador_ @Claudiashein @XochitlGalvez QUIEREN SEGUIR ROBANDO?
por favor todo l9 visto es suficiente para jamas votar por ladrones que hasta usurpan ser actores y actrices para que se les crea, a otro chango tu banana. LA 4T CONTINUARA",
"Bien interesante la encuesta de @MendozaBlancoA. 

Muestra que @BeatrizParedes tiene un mejor saldo de opinion, aunque tambien negativo, que @XochitlGalvez  

Tambien muestra que mas gente estaria dispuesta a votar por Beatriz Paredes que por la Sra. (C.)X.G., aunque, en ambos https://t.co/9eX1MVBoLh",
"Por mas aire que le meten a la Sra. (C.) X.G., nada mas ha capitalizado 4 puntos porcentuales y @PartidoMorenaMx mas que le duplica la intencion de voto. @Claudiashein es la candidata mas competitiva, aunque de todas formas con @m_ebrard la ventaja de Morena es de doble digito. https://t.co/5lNflWOekS",
"@drdrake94094433 @XochitlGalvez votar por la botarga es regresar a
los gobiernos corruptos que
gobernaron por mas de 70 anos
vendiendo todo los recursos
energeticos minas playas bancos
agua ferrocarriles autopistas
todo lo privatizaron 
por ello ni un voto al PRIANRD",
"@XochitlGalvez Eres solo un titere de la oligarquia y el sequito de fachos, que el dia de la eleccion ni salen a votar!!",
@arisrojas @JJDiazMachuca @Claudiashein @CarlosLoret @GobCDMX @XochitlGalvez Entonces por que das la pauta de no vayan a votar. Decidete hahaha ! Se congruente en lo que escribes,
"@NouMartLe @pedroferriz3 @XochitlGalvez Pues esa izquierda razonada fue la que voyo por AMLO y se quedaron desilusionados ajajajaja

Dudo mucho vuelvan a votar por morena",
"@XochitlGalvez yo pienso votar por ti, pero no porque seas mejor, si no lo menos peor 
Como es posible que estes con corruptos y sean parte de tu equipo , o eres o no eres lo que dices ser",
"@XochitlGalvez @EnriqueAlfaroR Jajajaja, no mames. Que pinche asco, cada vez la ponen mas facil sobre por quien no votar.",
@ryo_hermoso @Paintitblack18 @XochitlGalvez Gracias por compartir!! Preocupa que alguien en su sano juicio pretenda votar por Adan o por Norona. ?Que tiene la gente en la cabeza?,
"@Paolisimas @XochitlGalvez @edusax79 Este ha sido el voto de castigo mas pendejo en la historia de la humanidad, por supuesto que los anteriores fueron pateticos, pero votar por un promete de inicio impensables estupideces, solo los idiotas y aun los que se han arrepentido..",
"@XochitlGalvez Pienso votar por usted pero no empecemos por donde mismo, por favor, tenemos oyendo lo mismo hace 50 anos o mas",
"@laslolouss @GamagmaGma @EnriqueAlfaroR @XochitlGalvez @DanteDelgado Y sacar al gobierno corrupto de MORENA votando por los corruptos tradicionales, vaya, unos genios. Por eso muchos esperamos que MC no vaya con el frente, para tener por quien votar. Por congruencia.",
"@ryo_hermoso @XochitlGalvez 2/2 Xochitl, creo que la responsabilidad esta de nuestro lado y NOSOTROS DEBEMOS VOTAR, no solo en estas primarias, tambien VOTAR EN LA CONSTITUCIONAL. Si no, ?Como? El video es de @Quintana_Troll , al final reflexiona mejor esto. Saludos @ryo_hermoso .

https://t.co/9wd4x0vWcy",
"@kaoryvsco @XochitlGalvez @EnriqueAlfaroR Y por que no reclama las estrategias de seguridad de este gobierno de morena? Ya que por sus ""abrazos y no balazos"" hay Miles de desaparecidos tambien, no venga a dar discursos por quien votar., de seguro usted quiere que sigan las basuras de morena que no resuelven nada siempre",
@XochitlGalvez Acuerdate de los pobres Xochitl.....sino volveran a votar por morena...la ciudad de Mexico  tiene millones de pobres y el estado de Mexico tambien,
"@XochitlGalvez @IndEmbMexico Ya lo quitamos
Cuando decidimos ya no votar por el prian
Piensa que esas cosas son de la noche al amanecer, que tonta la verdad",
@Gudinodj1 @XochitlGalvez @EnriqueAlfaroR Wey yo si queria votar por ella ,1
"@ryo_hermoso @XochitlGalvez Ojala pudiera votar x Xochitl, estoy seguro sera presidenta",1
@kaoryvsco @EnriqueAlfaroR @XochitlGalvez O sea que tu solucion es no votar? Jeje,
@XochitlGalvez Otro plagio del programa de Amlover. Asi nadie los va a votar. Puro refrito... Se desecaron los neurotransmisores...,
"@ferbelaunzaran @lopezobrador_ @XochitlGalvez Es tiempo de la ciudadania, darle en el mero hocico a YSQ, por eso hay que salir a votar por @XochitlGalvez botar ALV @PartidoMorenaMx",
"VOTAR x @XochitlGalvez  es volver a conceder prestamos millonarios a fondo perdido a empresarios, es volver a excentar de impuestos a empresarios amigos del PRIanato, es volver a hacer negocios al amparo del poder, como lo hace la actual candigata del PRIan.
NI UN VOTO AL PRIAN.",
"El proximo domingo 3 de septiembre votaremos para elegir a la mujer que abanderara las esperanzas de cambio de los mexicanos en 2024.

                           ?Por quien vas a votar?

RT @XochitlGalvez 

FAV @BeatrizParedes https://t.co/abdqhymBRE",
@XochitlGalvez hola como y cuando vamos a  votar x  Xochil mi precidenta  es pero respuesta,
@XochitlGalvez Ya por esta informacion voy a votar por cochitl ,
@XochitlGalvez Simplemente votar por Xochitl es votar para que los indigenas sigan jodidos total asi les gusta y los ricos se hagan mas asi de simple en pocas palabras veo su propuesta y sobre aviso no hay engano.,
"@XochitlGalvez @AccionNacional Si sabes contar, ""Con Migo"" ya no cuentes yo no voy a votar por una burra , rata https://t.co/KrYCQCjDix",
"@DonPorfifirio @XochitlGalvez @Claudiashein Desgraciadamente las encuestas de Twitter no son reflejo de las personas que si van a votar, espero que Xochitl si gane pero hay mucho que tienen que hacer para lograrlo",
"Tenganlo esto muy presente
Salgamos el 3 de septiembre a votar y hagamoslo por @XochitlGalvez 
@YPositiva 
#XochitlVa https://t.co/DVzTYRGCm4",
"@XochitlGalvez https://t.co/0gBcJqPHCe
Ahi esta su respuesta, tengo 1400 millones de razones para NO votar por usted",
