tweet,clasificacion,,,
Pero la presidenta será @XochitlGalvez,1,,,
"Señora usted les da mucho miedo, y la verdad tienen razón porque el próximo año usted será presidenta",1,,,
Y vamos a ganar @XochitlGalvez Presidenta.,1,,,
"La impartición de Justicia en la CDMEX, es lo q puede pasar a nivel federal si apoyan a Morena en el 2024, por esa y muchas mas razones yo muchísimos Mexicanos votaremos por @XochitlGalvez será la primera Mujer presidenta d nuestro gran país,",1,,,
Por que insiste en ser presidenta si usted es feliz siendo tratando de ser una payasa,0,,,
"ni sueñes con ser Presidenta, a lo mejor solo de tu colonia, cochitl",0,,,
Tu casa contra mi casa perro y no verás presidenta a Xochitl,0,,,
"100% Xochiltl, para la próxima presidenta.",1,,,
Y próximamente tendremos a nuestra primera presidenta.Estoy hablando de @XochitlGalvez por supuesto,1,,,
nvitada a nuestro hogar... @XochitlGalvez Presidenta.,1,,,
"La esperanza de una chamba, del moche o de las influencias en el gobierno. #Mochitl no será presidenta. Ya no insistan. Tendrá que hacer circo desde otra pluri. #CasaDelMoche #CasaRoja",0,,,
"Y todavía quiere ser presidenta, no memen esa botarga no tiene vergüenza, cinica.",0,,,
"Vulgar, corriente y naca. Y así quieres ser presidenta? ",0,,,
"Entonces porque te amparaste , aguanta  mentirosa, corrupta eso demuestra que tienes miedo y tuviste que recurrir a  los tribunales vendidos para que defiendan que verguenza que una persona como tu quiera ser la botarga presidenta",0,,,
"¡Aunque es presidente, no presidenta! Ya corregido el dato, votaría por Xóchitl sin duda.",1,,,
"XochitlGalvez con todo gusto y amor te recibiría en mi humilde casa, tú SI eres la presidenta que requerimos todos los habitantes de México.",1,,,
Una #Xingona @XochitlGalvez PRESIDENTA!,1,,,
Arriba @XochitlGalvez PRESIDENTA AURENTICA NO FARSAS COMO LOS MORENOS,1,,,
"Presidenta Xochitl, desde ahora usted ya vive en mi casa y en la toda mi familia , quiero decirle que cuente ya con nuestros VOTOS!!",1,,,
"#XóchitlGalvez debe estar segura que millones de casas serían su casa,porque sabe que ha conquistado el corazón de los mexicanos,los que vemos en ella, una esperanza para México. No está sola,será la Presidenta que el país necesita para salir adelante. Y nada va a detenernos.",1,,,
"Yo voy a votar por @XochitlGalvez, y por mi ya me pueden excomulgar en este preciso instante.",1,,,
Quien en su sano juicio va votar por esta payasa rata igual que tú inútil de mierda,0,,,
"No te preocupes, nosotros creemos en ti y lo único que causan es que tengamos más razones por votar por usted.",1,,,
"Arriba y Adelante, XOCHITL GÁLVEZ 65,000.000 de jóvenes, listos para votar por ti.",1,,,
Si no queda @EVerastegui voy a anular mi voto no quiero a @XochitlGalvez,0,,,
"Yo voy anular mi voto, @XochitlGalvez quiere darle vivienda, trabajos de Nearshoring y apoyos sociales con nuestro dinero a los invasores mal llamados ""migrantes"" yo no voy a trabajar y pagar impuestos para que ella beneficie africanos, haitianos, centroamericanos y sudamericanos",0,,,
Los que realmente amamos la vida dimos por hecho anular el voto antes de votar por una abortista como @XochitlGalvez Así que no hay nada que dividamos,0,,,
"Con todo cariño y respeto Jaime, pero en estas alturas es preferible anular el voto que apoyar a la neotroskista de @XochitlGalvez Porque al final, si algo nos ha demostrado la pseudo""oposicion"" es que lo único que la diferencia de MORENA es su desprecio al Peje, nada más.",0,,,
"Estas usando al senado para promocionarte , jamás jamás ganarás,  esa gelatina no cuajo ,",0,,,
"Ya ven ahora escribe y la caga antes era abría la boca y la caga ahora hasta en la escritura esta es la que quiere ser presidenta no seria una desgracia para el país, si crees que con estupideces ganarás no lo creo",0,,,
"XochitlGalvez eres una mediocre corrupta y ladrona. No ganarás y no mamaras del erario, apestas a corrupción.",0,,,
"Eres una mujer corrupta como lo que representas al PRIAN, no deberías ni siquiera competir por tu falta de honestidad, no ganarás y ya no serás nada en la política mexicana.",0,,,
NUNCA GANARAS!!! No arruinaras los planes de millones de Mexicanos!!,0,,,
"No lo privatizaras ,porque no ganarás pinche gorda vende gelatinas,solo eres la gata del Claudio x,una empleada.",0,,,
"Corrupta mentirosa, no solo no ganarás nada, irás a prisión.",0,,,
"Nomas no chilles..... todo por cuidarle los intereses a tus señores , porque ni mujeres son las que te ibligan a estar ahí , pero en fin, allá tu... después , ni aunque ganaras te vas a zafar, esos son gente de lo peorcito, abusada",0,,,
XochitlGalvez te apoyamos! No te dejes amedrentar por los rateros de @PartidoMorenaMx  están aterrorizados porque saben que ganarás!!!,1,,,
"Vaya ignorancia monumental en materia de seguridad, inteligencia artificial?? Si a duras penas hay dinero para pagar salarios!!! Más dinero para las policias municipales?? No sabes ni que decir @Xochitl2024 por eso no ganarás!! #mexico #desinformación",0,,,
Tu me das asco Xochitl no cuentes con mi boto hablas puras idioteces eres una pendeja al decir que si ganarás la presidencia dejaras que agan una intervención por parte de EU estás tonta o qué viva amlo y que VIVA MÉXICO,0,,,
"Y Oaxaca no, tu país comienza de la cdmx hacia al norte, y tampoco ahí ganarás",0,,,
Jajajaja oite pin che panzona de mi erda es más divertido mentarte tu pu ta ma Dre porque solo pen dejadas dices y nada de propuestas así que panzona de mi erda sigue divirtiéndote y nosotros men tandote tu re pu ta ma dre al final NO GANARAS NI TU PTA MA DRE,0,,,
"Elimina también tus esperanzas… estás en el lado oscuro… el de la corrupción, simulación y…, ¡no ganarás!",0,,,
"Sabes contar, con México no cuentes no queremos una Corrupta, Rata, Vulgar y Corriente en la presidencia Xochitl Gálvez no ganarás nada.",0,,,
"Lamentable que te quieras colgar de colectivos por votos, aún así no ganarás de hecho quedadas en. 3ro o 4to detrás de Verástegui y Ebrard",0,,,
Ni en tus sueños ganarás ya te sacaron tus trapitos al sol,0,,,
"XochitlGalvez eres una mediocre corrupta y ladrona. No ganarás y no mamaras del erario, apestas a corrupción.",0,,,
"Eres una mujer corrupta como lo que representas al PRIAN, no deberías ni siquiera competir por tu falta de honestidad, no ganarás y ya no serás nada en la política mexicana.",0,,,
"Si podemos, entré todos si podemos. Marcha en apoyo a la Sra. Senadora y próxima Presidenta, que se note que no está sola.",1,,,
"Apoyo al Travieso, estamos con usted, Xóchitl",1,,,
Millones apoyamos a Xóchitl!!! MORENA porquería de partido!!! La quieren derrotar pero tiene el apoyo del pueblo,1,,,
Apoyo a @XochitlGalvez hasta la VICTORIA,1,,,
"XochitlGalvez la CINICA, VULGAR, HIPOCRITA, QUE NO TIENE PRESENCIA, LA CIRQUERA QUE YA SE CREE PRESIDENTA. SU CAIDA SERA ESTREPITOSA, NO LEVANTA LA CORRUPTA INGE'ÑERA QUE REPRESENTA MUY BIEN A LOS #PRIANDEJOS ESTA BOTARGA GELATINOSA NUNCA GANARA !",0,,,
Jamás ganará la señora x.,0,,,
"Con la botarga ni a la esquina,es la esperanza de los corruptos y chayoteros, no ganará el pueblo es el que cuenta no los chayoteros.",0,,,
Yo tampoco quiero que gane mugreña pero la señora X no ganará.,0,,,
Xóchitl ganará a pesar de toda esta violencia….Dios la protegerá.es nuestra esperanza!!,1,,,
Habrá voto útil y ganará #XochitlGalvezPresidenta2024,1,,,
"¡En Durango se siente el respaldo del priismo a @XochitlGalvez, nos da mucho gusto que nos acompañe en este encuentro tan importante",1,,,
"Es palero , @XochitlGalvez no ganará nada!!",0,,,
